Feature,Threshold,AUC,Normal,LNM
DHRS7,0.34,0.689,5.734798808048077,6.145484513981133
ZNRF2,0.34,0.689,4.532393423846154,5.052022832320755
VIL1,0.37,0.683,-4.385970720307692,-5.745350456490567
BAIAP3,0.32,0.677,0.6419990546250001,1.6669218569811322
PSAT1,0.33,0.674,5.454461827663461,4.635669769660377
RIOK2,0.34,0.671,4.416331137086538,4.650291565245284
ETFDH,0.33,0.669,3.9437657549807694,4.244788489660378
HBG1,0.3,0.666,-5.992247120365385,-5.016199933924528
TCF21,0.33,0.664,-5.21093914975,-4.199143022867926
FRZB,0.35,0.663,2.9105524712596154,4.041906331716982
TCEAL4,0.33,0.661,6.242415556653845,6.544573073509434
IBSP,0.31,0.66,0.44157908435576915,-1.327437949
TRPA1,0.33,0.658,-0.9794145778557692,-2.3349167312452828
COL24A1,0.35,0.657,0.4679005893269231,-0.33555223579245286
POU4F1,0.35,0.656,-0.9433168700576924,-2.553978243056604
